equipment_type,model,site_id,season,region,month,rental_days,previous_rental_count,avg_engine_hours,avg_idle_hours,utilization_rate,target_expected_demand
Compact Track Loader,259D3,SITE_044,Monsoon,South,6,50,15,8.3,1.25,0.8688,27.0
Excavator,320 GC,SITE_003,PostMonsoon,East,6,45,12,4.48,1.17,0.7925,47.0
Compact Track Loader,259D3,SITE_013,Summer,North,7,80,38,6.67,1.33,0.8336,44.0
Wheel Loader,950 GC,SITE_031,Summer,West,11,29,8,7.06,3.43,0.6732,39.0
Excavator,336,SITE_037,Summer,East,8,36,3,7.74,3.58,0.6841,48.0
Articulated Truck,745,SITE_033,Monsoon,North,10,9,18,10.67,1.75,0.8593,27.0
Backhoe Loader,420,SITE_049,Monsoon,East,7,58,12,6.31,2.38,0.7259,24.0
Wheel Loader,966,SITE_012,Summer,East,12,53,7,4.92,1.17,0.8082,46.0
Bulldozer,D6,SITE_015,PostMonsoon,East,11,69,16,4.62,1.3,0.7799,36.0
Bulldozer,D8,SITE_028,Summer,South,2,45,17,9.69,3.23,0.7499,46.0
Motor Grader,140,SITE_007,Monsoon,South,8,18,23,7.5,3.28,0.6961,28.0
Backhoe Loader,420,SITE_014,Winter,South,12,35,15,6.32,4.0,0.6125,29.0
Backhoe Loader,420,SITE_035,Summer,South,9,11,26,9.47,2.09,0.8193,41.0
Bulldozer,D8,SITE_014,Winter,East,1,33,11,10.03,1.59,0.8633,40.0
Excavator,336,SITE_041,Monsoon,East,5,32,12,4.97,1.09,0.8206,40.0
Bulldozer,D8,SITE_030,Summer,North,10,82,21,6.5,2.22,0.7456,50.0
Backhoe Loader,420,SITE_050,Monsoon,North,5,71,2,7.46,3.56,0.6773,20.0
Bulldozer,D8,SITE_043,PostMonsoon,South,8,66,10,8.37,2.46,0.7728,43.0
Bulldozer,D8,SITE_014,Summer,North,11,84,21,9.4,3.84,0.7099,50.0
Motor Grader,140,SITE_005,Monsoon,South,10,81,43,7.78,1.69,0.8212,38.0
Bulldozer,D6,SITE_022,Monsoon,East,11,76,41,7.16,2.59,0.7341,36.0
Excavator,320 GC,SITE_032,Summer,North,7,15,18,5.41,1.84,0.7459,47.0
Compact Track Loader,259D3,SITE_023,Winter,East,5,27,42,6.64,3.65,0.6456,36.0
Compact Track Loader,259D3,SITE_010,Summer,South,5,26,29,5.45,1.46,0.7885,36.0
Bulldozer,D8,SITE_042,Summer,South,1,42,12,6.38,3.03,0.6781,46.0
Backhoe Loader,420,SITE_038,Monsoon,South,8,80,47,9.67,2.01,0.8283,40.0
Wheel Loader,966,SITE_047,PostMonsoon,East,2,13,14,9.34,3.42,0.732,43.0
Excavator,320 GC,SITE_018,Winter,East,5,48,20,6.15,1.59,0.7943,42.0
Excavator,336,SITE_013,PostMonsoon,East,4,47,14,6.96,2.82,0.7118,49.0
Bulldozer,D8,SITE_041,Summer,West,8,19,5,7.82,3.04,0.7204,41.0
Excavator,320 GC,SITE_011,Summer,South,2,86,48,4.83,1.88,0.7193,60.0
Excavator,336,SITE_036,Monsoon,North,1,57,9,4.43,1.75,0.7167,37.0
Wheel Loader,966,SITE_046,Winter,West,7,46,12,6.43,2.24,0.7419,38.0
Backhoe Loader,420,SITE_019,Winter,East,4,20,33,6.82,1.37,0.8326,40.0
Bulldozer,D6,SITE_042,Monsoon,West,9,20,9,4.37,2.07,0.6787,27.0
Excavator,336,SITE_050,PostMonsoon,West,7,9,14,5.63,1.42,0.799,53.0
Bulldozer,D6,SITE_016,Winter,South,3,44,42,5.5,2.0,0.7334,44.0
Excavator,320 GC,SITE_045,Monsoon,South,6,34,36,7.12,1.2,0.8557,45.0
Wheel Loader,966,SITE_039,Monsoon,East,11,55,17,4.34,3.76,0.5358,31.0
Articulated Truck,745,SITE_016,Monsoon,West,10,10,11,6.42,2.04,0.7586,27.0
Compact Track Loader,259D3,SITE_003,Winter,North,9,37,34,8.66,3.05,0.7398,35.0
Wheel Loader,966,SITE_033,PostMonsoon,East,3,85,30,10.22,3.45,0.7476,55.0
Excavator,336,SITE_043,Summer,East,11,82,33,8.55,2.43,0.7785,62.0
Wheel Loader,966,SITE_041,Winter,South,3,24,17,6.59,2.88,0.6957,40.0
Compact Track Loader,259D3,SITE_030,Summer,North,10,25,45,5.78,2.93,0.6638,43.0
Wheel Loader,950 GC,SITE_035,Monsoon,North,2,22,10,8.9,1.19,0.8819,29.0
Compact Track Loader,259D3,SITE_011,Monsoon,North,6,30,36,10.15,2.5,0.8025,33.0
Excavator,320 GC,SITE_043,Winter,North,10,35,38,6.73,2.98,0.6931,49.0
Bulldozer,D8,SITE_018,PostMonsoon,South,12,17,10,7.39,1.48,0.8328,43.0
Excavator,336,SITE_021,Monsoon,North,4,35,3,8.84,1.05,0.8937,37.0
Compact Track Loader,259D3,SITE_004,Monsoon,North,3,59,32,8.04,1.38,0.8535,31.0
Articulated Truck,745,SITE_045,Winter,South,8,59,32,6.37,3.14,0.6699,41.0
Wheel Loader,950 GC,SITE_017,Summer,South,8,40,8,8.62,1.38,0.8622,37.0
Wheel Loader,966,SITE_047,PostMonsoon,East,1,8,22,9.37,2.63,0.7808,51.0
Wheel Loader,950 GC,SITE_012,Winter,East,7,18,27,6.28,3.01,0.6763,34.0
Compact Track Loader,259D3,SITE_001,PostMonsoon,West,10,89,22,7.57,1.1,0.8732,36.0
Bulldozer,D6,SITE_050,Monsoon,North,10,13,28,10.09,1.07,0.9039,38.0
Wheel Loader,950 GC,SITE_031,Summer,South,12,89,17,5.48,2.36,0.699,40.0
Bulldozer,D8,SITE_033,Monsoon,North,5,88,14,7.89,3.81,0.6741,31.0
Backhoe Loader,420,SITE_043,Monsoon,North,12,42,5,6.97,1.56,0.8176,21.0
Motor Grader,140,SITE_023,Summer,North,10,16,11,5.55,1.24,0.8179,33.0
Backhoe Loader,420,SITE_036,Summer,West,11,47,5,8.39,1.44,0.8533,28.0
Bulldozer,D8,SITE_019,Monsoon,East,12,27,26,9.56,2.55,0.7896,38.0
Excavator,320 GC,SITE_039,Winter,North,11,56,40,8.44,1.45,0.8531,49.0
Compact Track Loader,259D3,SITE_048,Winter,South,2,11,12,8.93,3.56,0.7149,26.0
Motor Grader,140,SITE_009,PostMonsoon,South,9,15,48,6.67,1.18,0.8494,45.0
Wheel Loader,950 GC,SITE_037,Monsoon,East,5,60,31,9.65,2.19,0.8151,35.0
Articulated Truck,745,SITE_045,PostMonsoon,South,5,20,6,5.6,1.31,0.8099,33.0
Excavator,336,SITE_043,Monsoon,East,12,60,36,8.66,1.68,0.8372,50.0
Compact Track Loader,259D3,SITE_050,Monsoon,South,5,69,11,8.61,3.99,0.6835,21.0
Articulated Truck,745,SITE_021,PostMonsoon,North,2,57,47,5.91,2.56,0.6974,47.0
Wheel Loader,950 GC,SITE_009,Monsoon,West,6,69,2,8.1,1.4,0.8525,26.0
Excavator,320 GC,SITE_048,Winter,West,8,59,19,4.89,1.72,0.7395,39.0
Articulated Truck,745,SITE_001,Winter,South,1,71,12,7.81,3.76,0.6747,28.0
Compact Track Loader,259D3,SITE_036,Monsoon,South,7,48,6,4.1,3.77,0.521,15.0
Articulated Truck,745,SITE_028,PostMonsoon,West,12,50,31,5.21,1.81,0.7427,43.0
Backhoe Loader,420,SITE_032,Summer,North,12,75,39,8.82,3.74,0.702,41.0
Excavator,320 GC,SITE_033,Summer,West,11,31,26,7.07,1.77,0.7996,55.0
Articulated Truck,745,SITE_024,PostMonsoon,East,3,39,6,5.31,1.38,0.7935,34.0
Wheel Loader,966,SITE_007,Summer,North,9,20,24,8.63,1.82,0.8255,53.0
Wheel Loader,950 GC,SITE_002,Summer,South,8,7,19,7.73,1.53,0.8345,42.0
Wheel Loader,950 GC,SITE_010,PostMonsoon,South,10,34,30,9.34,3.49,0.728,44.0
Bulldozer,D6,SITE_005,PostMonsoon,South,5,46,23,9.8,3.98,0.7114,42.0
Backhoe Loader,420,SITE_009,Summer,West,10,16,4,8.29,1.11,0.8821,32.0
Excavator,320 GC,SITE_037,Monsoon,South,2,23,26,4.75,1.68,0.7382,38.0
Compact Track Loader,259D3,SITE_041,PostMonsoon,South,4,85,33,8.25,3.01,0.7326,37.0
Backhoe Loader,420,SITE_004,Summer,East,3,30,18,5.99,1.67,0.7826,32.0
Bulldozer,D8,SITE_012,Monsoon,East,12,62,22,4.12,3.42,0.5463,32.0
Excavator,336,SITE_026,Winter,South,8,25,21,4.28,1.59,0.7287,45.0
Compact Track Loader,259D3,SITE_022,Winter,East,8,48,32,8.06,1.82,0.8157,36.0
Compact Track Loader,259D3,SITE_026,Monsoon,West,6,8,40,9.75,3.46,0.7381,37.0
Excavator,320 GC,SITE_039,Summer,East,11,85,10,6.13,1.21,0.8357,44.0
Backhoe Loader,420,SITE_037,Winter,West,8,65,16,10.1,2.34,0.8119,27.0
Wheel Loader,950 GC,SITE_010,Monsoon,South,11,74,47,4.52,2.57,0.6373,44.0
Articulated Truck,745,SITE_029,Summer,South,7,58,8,5.07,1.37,0.7876,31.0
Excavator,320 GC,SITE_012,Winter,South,3,28,45,4.5,1.23,0.7855,52.0
Bulldozer,D6,SITE_022,PostMonsoon,East,11,52,39,6.59,2.07,0.7609,47.0
Wheel Loader,966,SITE_018,Monsoon,West,2,7,33,7.07,3.66,0.659,39.0
Excavator,320 GC,SITE_044,Summer,West,8,18,34,9.72,2.59,0.7897,57.0
Wheel Loader,950 GC,SITE_025,Winter,East,2,56,9,6.54,1.7,0.7932,36.0
Excavator,320 GC,SITE_019,Monsoon,South,12,88,8,5.27,2.52,0.6762,30.0
Excavator,336,SITE_038,Summer,West,8,73,32,8.9,1.41,0.8635,65.0
Bulldozer,D6,SITE_008,Summer,East,11,76,19,10.93,1.38,0.8876,45.0
Bulldozer,D6,SITE_008,Summer,East,5,22,35,10.89,2.48,0.8142,46.0
Wheel Loader,950 GC,SITE_025,PostMonsoon,West,10,30,46,4.02,2.61,0.6064,51.0
Wheel Loader,950 GC,SITE_046,Winter,South,6,11,28,10.76,1.84,0.8542,42.0
Motor Grader,140,SITE_015,Monsoon,West,8,38,31,8.63,3.56,0.7082,30.0
Backhoe Loader,420,SITE_048,Winter,South,1,51,13,6.04,1.38,0.8137,25.0
Bulldozer,D6,SITE_027,Monsoon,West,3,41,23,9.96,2.44,0.8031,32.0
Wheel Loader,966,SITE_036,Summer,North,4,50,35,9.51,1.65,0.8524,59.0
Bulldozer,D6,SITE_018,Winter,North,2,28,41,4.66,3.08,0.6023,42.0
Wheel Loader,966,SITE_026,Monsoon,North,3,20,5,10.0,1.37,0.8793,30.0
Excavator,336,SITE_009,PostMonsoon,East,8,60,30,8.19,2.68,0.7537,53.0
Backhoe Loader,420,SITE_029,Monsoon,North,7,84,37,4.63,1.6,0.7431,36.0
Wheel Loader,966,SITE_050,Summer,South,1,19,6,8.78,2.96,0.7479,44.0
Bulldozer,D6,SITE_015,Summer,North,12,80,3,8.24,2.93,0.738,36.0
Wheel Loader,966,SITE_031,Summer,South,11,33,24,4.21,1.39,0.7512,49.0
Excavator,320 GC,SITE_003,Winter,West,5,79,42,7.43,3.15,0.7024,52.0
Excavator,320 GC,SITE_031,PostMonsoon,West,12,69,4,5.97,1.8,0.7684,41.0
Excavator,320 GC,SITE_024,Summer,North,10,80,45,7.38,1.06,0.8745,59.0
Backhoe Loader,420,SITE_023,Summer,South,2,77,43,7.98,1.91,0.8067,49.0
Articulated Truck,745,SITE_007,PostMonsoon,West,3,62,42,7.36,2.9,0.7172,46.0
Excavator,320 GC,SITE_027,Summer,East,9,52,16,4.24,2.31,0.6475,50.0
Compact Track Loader,259D3,SITE_026,Monsoon,East,8,18,5,8.57,3.9,0.6869,20.0
Bulldozer,D6,SITE_023,Monsoon,North,9,16,18,10.97,1.53,0.8778,33.0
Backhoe Loader,420,SITE_044,Summer,West,1,73,21,10.2,1.89,0.8439,35.0
Compact Track Loader,259D3,SITE_037,Winter,North,5,30,11,9.46,2.22,0.8101,24.0
Compact Track Loader,259D3,SITE_003,Monsoon,South,12,17,23,10.02,1.09,0.9016,30.0
Compact Track Loader,259D3,SITE_031,PostMonsoon,South,7,74,45,5.75,3.63,0.6127,41.0
Compact Track Loader,259D3,SITE_009,Summer,East,9,83,33,7.86,2.93,0.7283,37.0
Bulldozer,D8,SITE_022,PostMonsoon,East,10,29,13,5.07,2.15,0.7019,42.0
Excavator,336,SITE_013,Winter,North,6,77,15,7.34,1.23,0.8561,45.0
Bulldozer,D8,SITE_037,Winter,South,12,44,23,5.24,1.03,0.8352,44.0
Backhoe Loader,420,SITE_017,Winter,South,6,48,42,4.94,2.61,0.6545,37.0
Bulldozer,D6,SITE_002,Summer,North,1,58,33,9.79,1.49,0.8682,47.0
Articulated Truck,745,SITE_049,Winter,East,1,49,8,5.76,2.27,0.7172,26.0
Backhoe Loader,420,SITE_028,Monsoon,North,3,11,9,6.37,2.69,0.7032,25.0
Excavator,336,SITE_008,Winter,East,1,27,11,8.55,3.07,0.736,46.0
Compact Track Loader,259D3,SITE_001,PostMonsoon,East,2,12,23,8.17,1.77,0.8223,36.0
Compact Track Loader,259D3,SITE_043,Summer,North,7,11,47,8.85,3.26,0.7309,41.0
Excavator,320 GC,SITE_019,Winter,East,3,71,25,8.3,2.99,0.7351,42.0
Motor Grader,140,SITE_024,Winter,South,8,34,26,4.37,2.55,0.6312,31.0
Compact Track Loader,259D3,SITE_029,Summer,North,1,67,33,6.31,2.31,0.732,39.0
Bulldozer,D6,SITE_033,Summer,West,5,39,18,9.68,2.78,0.777,40.0
Compact Track Loader,259D3,SITE_028,Winter,East,10,32,37,10.37,4.0,0.7219,37.0
Articulated Truck,745,SITE_002,PostMonsoon,South,1,23,42,8.17,2.89,0.7387,46.0
Excavator,320 GC,SITE_012,Monsoon,North,6,87,15,8.03,2.11,0.792,33.0
Bulldozer,D6,SITE_033,Winter,West,9,24,31,4.18,2.34,0.6412,38.0
Motor Grader,140,SITE_033,Winter,West,3,62,11,9.33,3.54,0.7249,28.0
Motor Grader,140,SITE_009,Monsoon,South,12,53,21,4.44,1.61,0.7336,25.0
Wheel Loader,950 GC,SITE_043,Winter,North,4,53,7,7.76,2.16,0.7822,32.0
Wheel Loader,966,SITE_041,Summer,East,12,74,5,8.62,1.07,0.8898,43.0
Wheel Loader,966,SITE_038,Monsoon,South,11,87,28,8.44,3.68,0.6963,37.0
Motor Grader,140,SITE_031,PostMonsoon,West,12,64,28,7.63,3.87,0.6633,38.0
Bulldozer,D8,SITE_016,Monsoon,East,12,73,8,8.66,1.18,0.8804,32.0
Compact Track Loader,259D3,SITE_049,PostMonsoon,North,1,18,45,9.84,2.14,0.8217,41.0
Wheel Loader,966,SITE_039,Summer,East,10,67,36,5.38,3.27,0.6218,58.0
Excavator,320 GC,SITE_040,Monsoon,East,5,35,40,7.4,2.69,0.7335,42.0
Excavator,336,SITE_006,Winter,West,3,38,32,8.13,3.9,0.676,48.0
Bulldozer,D6,SITE_035,Summer,North,11,44,33,6.24,3.01,0.6749,49.0
Wheel Loader,966,SITE_002,Summer,South,8,74,9,9.64,2.15,0.8179,45.0
Wheel Loader,950 GC,SITE_020,Winter,South,3,53,9,6.41,1.19,0.8439,35.0
Motor Grader,140,SITE_022,Summer,West,11,26,24,9.16,3.42,0.7283,42.0
Excavator,336,SITE_004,PostMonsoon,East,11,33,25,5.9,3.01,0.6621,56.0
Wheel Loader,966,SITE_009,Summer,East,3,78,42,8.16,2.75,0.7479,61.0
Wheel Loader,950 GC,SITE_041,Monsoon,North,2,70,3,10.91,1.47,0.8816,24.0
Compact Track Loader,259D3,SITE_028,Winter,East,6,51,41,6.56,1.36,0.8279,38.0
Bulldozer,D6,SITE_017,Monsoon,North,11,63,49,4.11,1.22,0.7713,43.0
Wheel Loader,966,SITE_018,Summer,East,3,51,41,9.36,1.44,0.8669,63.0
Wheel Loader,950 GC,SITE_026,Summer,East,1,42,17,5.08,2.61,0.6601,40.0
Excavator,320 GC,SITE_050,Monsoon,East,11,38,48,10.5,1.34,0.8866,48.0
Wheel Loader,950 GC,SITE_006,Monsoon,West,4,57,25,10.87,2.37,0.8211,33.0
Articulated Truck,745,SITE_037,Monsoon,East,3,60,45,10.49,3.28,0.7616,39.0
Bulldozer,D6,SITE_019,PostMonsoon,North,1,22,32,4.42,1.92,0.6978,44.0
Excavator,336,SITE_016,Monsoon,West,4,42,10,5.43,3.99,0.5762,34.0
Backhoe Loader,420,SITE_011,Monsoon,East,9,65,34,4.07,2.61,0.6094,32.0
Articulated Truck,745,SITE_028,Winter,North,7,54,8,10.47,1.53,0.8723,30.0
Motor Grader,140,SITE_034,Monsoon,South,8,68,37,7.49,1.21,0.8613,37.0
Articulated Truck,745,SITE_026,Summer,South,8,15,18,6.81,1.44,0.825,41.0
Wheel Loader,950 GC,SITE_025,Summer,South,8,83,44,7.73,3.29,0.7016,53.0
Bulldozer,D6,SITE_028,Winter,North,5,72,10,9.17,1.06,0.8966,31.0
Backhoe Loader,420,SITE_029,Winter,West,2,70,15,9.34,1.61,0.853,28.0
Compact Track Loader,259D3,SITE_026,PostMonsoon,West,10,64,11,8.73,3.67,0.7042,27.0
Bulldozer,D8,SITE_025,Winter,West,12,83,24,10.46,1.27,0.8919,47.0
Articulated Truck,745,SITE_024,Winter,South,1,44,23,5.38,2.59,0.675,37.0
Bulldozer,D8,SITE_044,Summer,East,6,45,4,4.39,3.93,0.5275,38.0
Motor Grader,140,SITE_010,PostMonsoon,West,6,58,24,6.79,2.8,0.7078,35.0
Wheel Loader,950 GC,SITE_041,Winter,South,1,64,6,4.09,2.95,0.5816,35.0
Excavator,336,SITE_036,Summer,South,9,75,31,4.95,1.99,0.7137,62.0
Backhoe Loader,420,SITE_041,Summer,West,7,25,22,5.18,2.61,0.6649,32.0
Compact Track Loader,259D3,SITE_024,Winter,East,3,53,36,6.1,2.23,0.7326,35.0
Articulated Truck,745,SITE_004,PostMonsoon,South,8,14,37,5.38,1.72,0.7579,47.0
Wheel Loader,950 GC,SITE_001,Winter,West,1,74,33,4.48,3.99,0.5284,44.0
Compact Track Loader,259D3,SITE_050,Winter,South,9,10,2,7.84,2.93,0.7279,22.0
Motor Grader,140,SITE_029,PostMonsoon,North,9,10,13,7.35,3.0,0.7099,33.0
Backhoe Loader,420,SITE_012,Winter,West,11,21,14,8.13,2.56,0.7603,27.0
Bulldozer,D8,SITE_028,Monsoon,North,8,55,21,8.62,1.65,0.8393,35.0
Bulldozer,D8,SITE_039,PostMonsoon,South,12,79,32,5.19,3.46,0.5994,48.0
Bulldozer,D8,SITE_035,Monsoon,South,9,9,42,9.44,2.78,0.7727,42.0
Motor Grader,140,SITE_031,Monsoon,South,9,43,42,6.39,3.51,0.645,35.0
Motor Grader,140,SITE_031,Winter,South,8,80,23,4.13,3.95,0.5112,26.0
Excavator,320 GC,SITE_026,PostMonsoon,East,1,66,3,8.97,1.09,0.892,41.0
Compact Track Loader,259D3,SITE_037,PostMonsoon,North,7,88,16,6.09,3.76,0.6182,30.0
Bulldozer,D6,SITE_005,Monsoon,South,2,49,47,5.27,1.99,0.7258,41.0
Motor Grader,140,SITE_009,Monsoon,North,2,68,32,8.79,1.89,0.8229,35.0
Excavator,336,SITE_041,Winter,North,9,13,48,7.12,3.23,0.688,59.0
Articulated Truck,745,SITE_019,Winter,South,12,82,8,10.44,1.94,0.8436,27.0
Wheel Loader,950 GC,SITE_030,PostMonsoon,East,9,14,18,9.83,2.24,0.8142,42.0
Wheel Loader,950 GC,SITE_016,Winter,West,9,40,7,4.02,3.04,0.5695,32.0
Excavator,336,SITE_036,Winter,South,9,36,37,5.01,3.46,0.5914,53.0
Wheel Loader,950 GC,SITE_007,Summer,West,7,60,31,10.73,1.96,0.8455,51.0
Compact Track Loader,259D3,SITE_028,Winter,West,12,16,45,5.19,1.25,0.8063,44.0
Bulldozer,D8,SITE_001,PostMonsoon,South,8,20,11,5.84,1.68,0.7768,43.0
Excavator,336,SITE_010,Winter,North,5,83,28,10.19,2.71,0.7897,49.0
Excavator,336,SITE_046,Summer,South,9,86,12,6.15,2.35,0.7234,54.0
Wheel Loader,966,SITE_001,Winter,East,3,84,10,4.71,3.5,0.5739,37.0
Compact Track Loader,259D3,SITE_043,Summer,North,12,72,27,6.59,3.27,0.6683,36.0
Wheel Loader,966,SITE_029,PostMonsoon,West,9,63,12,8.17,1.73,0.8253,49.0
Excavator,320 GC,SITE_016,Winter,East,2,62,25,6.0,2.74,0.687,47.0
Excavator,336,SITE_013,Winter,South,2,88,26,11.0,3.45,0.7612,49.0
Articulated Truck,745,SITE_050,Monsoon,West,9,68,29,7.16,2.75,0.7227,41.0
Excavator,320 GC,SITE_050,Summer,North,2,44,48,4.24,2.35,0.6438,61.0
Wheel Loader,966,SITE_031,Summer,West,2,83,12,9.88,3.1,0.7609,46.0
Motor Grader,140,SITE_019,PostMonsoon,West,3,34,17,5.02,2.63,0.6562,35.0
Excavator,336,SITE_015,Summer,East,12,62,27,8.72,3.91,0.6906,61.0
Excavator,320 GC,SITE_004,Monsoon,North,4,84,20,9.21,1.08,0.8953,36.0
Bulldozer,D8,SITE_023,Winter,North,1,80,16,9.67,1.34,0.8784,40.0
Excavator,320 GC,SITE_035,PostMonsoon,West,1,31,6,5.48,1.16,0.8259,42.0
Articulated Truck,745,SITE_046,Summer,East,1,69,46,6.96,2.06,0.7712,53.0
Backhoe Loader,420,SITE_023,Monsoon,South,12,74,2,4.38,2.2,0.6652,23.0
Wheel Loader,966,SITE_007,Winter,South,1,49,5,5.21,2.86,0.646,33.0
Bulldozer,D8,SITE_038,Winter,North,7,39,15,9.06,1.34,0.8714,36.0
Motor Grader,140,SITE_014,Monsoon,North,10,60,7,8.64,3.36,0.7202,22.0
Compact Track Loader,259D3,SITE_007,Monsoon,West,12,80,22,5.35,3.79,0.5856,23.0
Backhoe Loader,420,SITE_040,Monsoon,West,5,89,10,7.17,1.95,0.7859,23.0
Excavator,320 GC,SITE_040,PostMonsoon,South,6,55,10,5.83,2.01,0.744,46.0
Backhoe Loader,420,SITE_046,Summer,West,6,49,26,7.52,1.65,0.8196,35.0
Bulldozer,D6,SITE_043,Winter,West,6,27,47,5.6,1.07,0.8389,51.0
Excavator,320 GC,SITE_012,Summer,North,3,29,46,5.66,1.61,0.7787,60.0
Bulldozer,D6,SITE_044,Monsoon,West,8,12,4,5.43,2.68,0.6691,21.0
Compact Track Loader,259D3,SITE_039,Winter,North,4,39,28,10.66,2.36,0.8185,36.0
Wheel Loader,966,SITE_045,Winter,North,11,14,23,4.08,2.72,0.5999,38.0
Motor Grader,140,SITE_044,PostMonsoon,East,10,32,6,9.2,2.16,0.8095,31.0
Wheel Loader,966,SITE_043,Monsoon,East,9,40,8,7.43,1.78,0.8067,34.0
Motor Grader,140,SITE_049,Summer,South,8,31,46,8.2,1.31,0.8624,48.0
Excavator,336,SITE_002,Monsoon,South,1,24,15,10.01,3.57,0.7373,36.0
Backhoe Loader,420,SITE_031,Summer,North,3,58,14,8.65,2.33,0.788,33.0
Excavator,320 GC,SITE_045,PostMonsoon,South,3,59,46,7.94,1.72,0.8218,60.0
Wheel Loader,950 GC,SITE_040,Monsoon,East,11,86,35,9.45,2.08,0.8194,41.0
Backhoe Loader,420,SITE_050,Monsoon,North,12,55,19,8.52,2.31,0.7864,27.0
Bulldozer,D8,SITE_019,Monsoon,West,6,20,37,5.18,2.37,0.6861,41.0
Articulated Truck,745,SITE_048,Summer,North,3,12,16,9.48,2.84,0.7693,35.0
Motor Grader,140,SITE_039,Summer,West,5,12,2,10.41,1.87,0.8477,32.0
Excavator,320 GC,SITE_048,Monsoon,West,10,87,42,9.47,1.5,0.8632,44.0
Backhoe Loader,420,SITE_050,Monsoon,West,10,76,10,7.81,2.18,0.7814,24.0
Articulated Truck,745,SITE_036,Winter,South,7,7,17,10.85,2.07,0.8397,32.0
Excavator,336,SITE_024,PostMonsoon,West,4,36,31,8.82,3.62,0.7088,59.0
Motor Grader,140,SITE_021,Monsoon,West,11,71,18,6.74,1.09,0.8608,30.0
Bulldozer,D6,SITE_018,Winter,South,3,68,14,6.8,3.13,0.6844,32.0
Wheel Loader,950 GC,SITE_020,Summer,East,2,10,24,9.3,2.44,0.792,47.0
Motor Grader,140,SITE_005,Winter,South,6,89,41,4.32,1.29,0.7697,43.0
Backhoe Loader,420,SITE_045,PostMonsoon,North,1,81,3,8.04,2.08,0.7946,28.0
Wheel Loader,950 GC,SITE_039,PostMonsoon,West,11,9,21,5.94,2.0,0.7481,42.0
Excavator,320 GC,SITE_041,PostMonsoon,West,4,42,32,10.02,2.76,0.7843,55.0
Excavator,320 GC,SITE_006,Summer,North,3,54,29,7.13,3.21,0.6893,51.0
Articulated Truck,745,SITE_032,Monsoon,South,12,67,45,8.35,1.79,0.8235,43.0
Motor Grader,140,SITE_009,Summer,North,10,49,17,4.27,3.23,0.5693,35.0
Excavator,336,SITE_019,Summer,North,9,45,42,7.32,1.65,0.8163,64.0
Compact Track Loader,259D3,SITE_050,Winter,South,8,31,33,6.07,3.32,0.6466,35.0
Backhoe Loader,420,SITE_034,Winter,East,3,18,44,5.6,1.4,0.7998,42.0
Compact Track Loader,259D3,SITE_017,PostMonsoon,North,4,36,36,9.89,1.37,0.8781,41.0
Excavator,336,SITE_033,Monsoon,West,9,87,10,9.17,2.56,0.7815,37.0
Excavator,336,SITE_004,PostMonsoon,East,9,66,31,8.57,3.76,0.6952,56.0
Wheel Loader,950 GC,SITE_048,Winter,West,7,12,19,4.15,3.74,0.5257,34.0
Backhoe Loader,420,SITE_033,Monsoon,North,8,46,35,10.71,2.04,0.8402,37.0
Motor Grader,140,SITE_008,Summer,East,8,44,27,10.09,2.15,0.8243,40.0
Bulldozer,D6,SITE_010,Winter,South,6,64,21,10.86,1.65,0.868,36.0
Wheel Loader,966,SITE_010,PostMonsoon,North,11,27,3,7.0,3.95,0.639,37.0
Motor Grader,140,SITE_041,Monsoon,West,12,85,36,4.95,1.01,0.831,33.0
Wheel Loader,950 GC,SITE_004,PostMonsoon,East,10,33,39,5.9,1.52,0.7953,49.0
Wheel Loader,950 GC,SITE_041,Winter,West,12,18,13,9.32,1.14,0.8912,37.0
Backhoe Loader,420,SITE_004,Summer,East,3,78,45,4.77,1.58,0.7508,46.0
Compact Track Loader,259D3,SITE_041,Summer,South,11,82,5,7.37,3.68,0.6671,24.0
Wheel Loader,950 GC,SITE_009,Winter,West,4,43,2,6.79,3.19,0.6805,29.0
Wheel Loader,950 GC,SITE_008,Summer,East,12,29,38,8.19,2.01,0.8031,50.0
Motor Grader,140,SITE_004,Winter,North,9,7,4,6.45,3.97,0.6191,28.0
Bulldozer,D8,SITE_002,Monsoon,West,3,66,13,5.57,1.36,0.8041,30.0
Articulated Truck,745,SITE_001,Monsoon,West,1,32,28,7.34,3.94,0.6509,31.0
Excavator,336,SITE_047,Summer,West,8,83,10,9.92,1.79,0.847,57.0
Backhoe Loader,420,SITE_046,Monsoon,East,7,7,16,4.6,2.31,0.6654,24.0
Wheel Loader,966,SITE_004,Monsoon,West,3,36,38,4.91,3.78,0.565,39.0
Wheel Loader,966,SITE_048,Winter,East,6,29,32,7.34,1.87,0.7966,48.0
Wheel Loader,966,SITE_016,PostMonsoon,West,5,26,38,9.28,2.83,0.7661,51.0
Wheel Loader,966,SITE_047,Summer,West,7,14,35,7.65,2.37,0.7633,55.0
Motor Grader,140,SITE_045,Summer,South,5,9,35,8.68,2.23,0.7954,42.0
Bulldozer,D6,SITE_013,Winter,West,11,8,29,4.34,2.83,0.6052,36.0
Excavator,336,SITE_010,PostMonsoon,South,6,7,31,6.79,3.46,0.6625,57.0
Excavator,336,SITE_041,Monsoon,West,6,34,28,4.3,1.35,0.7617,43.0
Excavator,336,SITE_038,Summer,North,5,61,24,7.81,3.73,0.6766,58.0
